"","Set_ID","Name","Year","Theme","Theme_Group","Subtheme","Category","Packaging","Num_Instructions","Availability","Pieces","Minifigures","Owned","Rating","USD_MSRP","Total_Quantity","Current_Price"
"1","75-1","PreSchool Set",1975,"PreSchool","Pre-school",NA,"Normal","{Not specified}",0,"{Not specified}",16,0,10,0,NA,NA,NA
"2","77-1","PreSchool Set",1975,"PreSchool","Pre-school",NA,"Normal","{Not specified}",0,"{Not specified}",20,0,11,0,NA,NA,NA
"3","077-1","Pre-School Set",1975,"Duplo","Pre-school",NA,"Normal","{Not specified}",0,"{Not specified}",21,0,10,0,NA,0,NA
"4","78-1","PreSchool Set",1975,"PreSchool","Pre-school",NA,"Normal","{Not specified}",0,"{Not specified}",32,0,8,0,NA,NA,NA
"5","78-3","Basic Set",1975,"Samsonite","Vintage","Basic set","Normal","Box",0,"{Not specified}",330,0,10,0,NA,0,NA
"6","133-1","Locomotive",1975,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",87,0,279,0,NA,0,NA
"7","134-1","Mobile Crane and Wagon",1975,"Trains","Modern day","4.5/12V","Normal","Box",0,"Retail",86,0,252,0,NA,0,NA
"8","136-1","Tanker Wagon",1975,"Trains","Modern day","4.5/12V","Normal","Box",0,"Retail",83,0,404,0,NA,0,NA
"9","137-2","Passenger Sleeping Car",1975,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",82,0,299,0,NA,0,NA
"10","148-1","Station",1975,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",293,5,479,0,NA,0,NA
"11","182-1","Train Set with Motor",1975,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",369,0,409,0,NA,0,NA
"12","190-1","Farm Set",1975,"Building Set with People","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",526,0,223,0,NA,0,NA
"13","195-1","Airplane",1975,"Building Set with People","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",89,0,145,0,NA,0,NA
"14","253-2","Helicopter and Pilot",1975,"Building Set with People","Vintage",NA,"Normal","Box",0,"Retail",49,0,204,0,NA,0,NA
"15","254-1","Family",1975,"Building Set with People","Vintage",NA,"Normal","Box",0,"Retail",103,0,264,0,NA,0,NA
"16","255-2","Farming Scene",1975,"Building Set with People","Vintage",NA,"Normal","Box",0,"Retail",120,0,134,0,NA,0,NA
"17","362-1","Windmill",1975,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",215,2,280,0,NA,0,NA
"18","363-1","Hospital",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",229,7,641,4.2,NA,0,NA
"19","364-1","Harbour",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",518,7,188,0,NA,0,NA
"20","365-1","Wild West",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",602,8,255,0,NA,0,NA
"21","367-1","Space Module with Astronauts",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",364,0,597,3.7,NA,0,NA
"22","390-2","1913 Cadillac",1975,"Hobby Set","Vintage",NA,"Normal","Box",0,"Retail",200,0,762,3.9,NA,0,NA
"23","391-1","1926 Renault",1975,"Hobby Set","Vintage",NA,"Normal","Box",0,"Retail",237,0,609,4.3,NA,0,NA
"24","392-1","Formula 1",1975,"Hobby Set","Vintage",NA,"Normal","Box",0,"Retail",197,0,443,0,NA,0,NA
"25","430-1","Biplane",1975,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",18,0,454,4,NA,0,NA
