"","Set_ID","Name","Year","Theme","Theme_Group","Subtheme","Category","Packaging","Num_Instructions","Availability","Pieces","Minifigures","Owned","Rating","USD_MSRP","Total_Quantity","Current_Price"
"1","148-1","Station",1975,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",293,5,479,0,NA,0,NA
"2","362-1","Windmill",1975,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",215,2,280,0,NA,0,NA
"3","363-1","Hospital",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",229,7,641,4.2,NA,0,NA
"4","364-1","Harbour",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",518,7,188,0,NA,0,NA
"5","365-1","Wild West",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",602,8,255,0,NA,0,NA
"6","615-2","Forklift",1975,"LEGOLAND","Vintage","Vehicle","Normal","{Not specified}",0,"{Not specified}",21,1,1019,0,NA,0,NA
"7","659-1","Police Patrol",1975,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",49,2,953,3.7,NA,1,55
"8","692-1","Road Repair Crew",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",57,2,486,0,NA,0,NA
"9","693-1","Fire engine with firemen",1975,"LEGOLAND","Vintage",NA,"Normal","Box",0,"Retail",62,3,533,0,NA,0,NA
"10","080-3","Police Station",1976,"PreSchool","Pre-school",NA,"Normal","{Not specified}",0,"{Not specified}",28,4,31,0,NA,0,NA
"11","081-1","Train Station",1976,"PreSchool","Pre-school",NA,"Normal","{Not specified}",0,"{Not specified}",53,5,14,0,NA,0,NA
"12","082-1","LEGOVille",1976,"PreSchool","Pre-school",NA,"Normal","{Not specified}",0,"{Not specified}",66,7,15,0,NA,0,NA
"13","146-1","Level Crossing",1976,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",68,1,728,0,NA,0,NA
"14","147-1","Refrigerated Wagon",1976,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",115,2,353,0,NA,0,NA
"15","149-1","Fuel Refinery",1976,"Trains","Modern day","4.5/12V","Normal","{Not specified}",0,"{Not specified}",328,3,291,0,NA,0,NA
"16","314-1","Police Launch",1976,"LEGOLAND","Vintage","Boats","Normal","{Not specified}",0,"{Not specified}",53,2,1118,3.2,NA,1,149.2976
"17","368-1","Taxi Garage",1976,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",156,2,622,0,NA,0,NA
"18","369-1","Coast Guard Station",1976,"LEGOLAND","Vintage","Building","Normal","{Not specified}",0,"{Not specified}",275,5,462,0,NA,1,250
"19","370-1","Police Headquarters",1976,"LEGOLAND","Vintage","Building","Normal","{Not specified}",0,"{Not specified}",280,4,624,0,NA,0,NA
"20","386-1","Air Ambulance",1976,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",151,3,718,0,NA,0,NA
"21","425-1","Fork Lift",1976,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",21,1,506,0,NA,0,NA
"22","445-1","Police Units",1976,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",39,2,484,0,NA,0,NA
"23","485-1","Fire Truck",1976,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",72,3,347,0,NA,1,165
"24","550-2","Windmill",1976,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",210,2,170,0,NA,0,NA
"25","555-1","Hospital",1976,"LEGOLAND","Vintage",NA,"Normal","{Not specified}",0,"{Not specified}",202,7,389,0,NA,0,NA
